name,school_type,address,campus_kind
군산동고등학교,일반고등학교,전북특별자치도 군산시 달여길 50,-
군산상일고등학교,일반고등학교,전북특별자치도 군산시 석치1길 17,-
군산여자고등학교,일반고등학교,전북특별자치도 군산시 월명1길 16,-
군산여자상업고등학교,특성화고등학교,전북특별자치도 군산시 신지길 42-8,-
군산영광여자고등학교,일반고등학교,전북특별자치도 군산시 둔배미길 21,-
군산제일고등학교,일반고등학교,전북특별자치도 군산시 경기장로 142,-
군산중앙고등학교,일반고등학교,전북특별자치도 군산시 성산면 군장대길 13,-
군산중앙여자고등학교,일반고등학교,전북특별자치도 군산시 축동2길 27,-
동국대학교사범대학부속금산고등학교,일반고등학교,전북특별자치도 김제시 금산면 모악로 47,-
김제고등학교,일반고등학교,전북특별자치도 김제시 남북2길 25,-
김제서고등학교,일반고등학교,전북특별자치도 김제시 죽산면 해학로 17,-
김제여자고등학교,일반고등학교,전북특별자치도 김제시 중앙로 193,-
김제농생명마이스터고등학교,특수목적고등학교,전북특별자치도 김제시 남북9길 23,-
남성고등학교,일반고등학교,전북특별자치도 익산시 동서로35길 41-4,-
남원고등학교,일반고등학교,전북특별자치도 남원시 만인로 43,-
남원용성고등학교,특성화고등학교,전북특별자치도 남원시 농고길 41,-
남원서진여자고등학교,일반고등학교,전북특별자치도 남원시 낙현길 17-14,-
남원여자고등학교,일반고등학교,전북특별자치도 남원시 광천북길 229-11,-
남원제일고등학교,특성화고등학교,전북특별자치도 남원시 노송로 1206,-
남원국악예술고등학교,일반고등학교,전북특별자치도 남원시 용성로 323,-
덕암고등학교,일반고등학교,전북특별자치도 김제시 하공로 9,-
덕암정보고등학교,특성화고등학교,전북특별자치도 김제시 하공로 9,-
동계고등학교,일반고등학교,전북특별자치도 순창군 동계면 강동로 74,-
동암고등학교,일반고등학교,전북특별자치도 전주시 완산구 소태정4길 1,-
마령고등학교,일반고등학교,전북특별자치도 진안군 마령면 임진로 2076,-
만경고등학교,일반고등학교,전북특별자치도 김제시 만경읍 능제로 29,-
만경여자고등학교,일반고등학교,전북특별자치도 김제시 만경읍 만경로 823,-
무주고등학교,일반고등학교,전북특별자치도 무주군 무주읍 한수로 32,-
무풍고등학교,일반고등학교,전북특별자치도 무주군 무풍면 대덕산로 914,-
배영고등학교,일반고등학교,전북특별자치도 정읍시 동학로 243,-
백산고등학교,일반고등학교,전북특별자치도 부안군 백산면 백산로 379,-
