학교명,주소,현재lat,현재lon,kakao_lat,kakao_lon,거리차_km,검증상태
구림공업고등학교,전라남도 영암군 군서면 왕인로 453,34.7598902670722,126.62633710904,34.7598902670722,126.62633710904,0.0,ok
금성고등학교,전라남도 나주시 건재로 41,35.0380384028771,126.712290952828,35.0380384028771,126.712290952828,0.0,ok
나주공업고등학교,전라남도 나주시 건재로 43,35.0398049237499,126.712751090808,35.0398049237499,126.712751090808,0.0,ok
노화고등학교,전라남도 완도군 노화읍 노화로 763-36,34.1813614282516,126.577694330231,34.1813614282516,126.577694330231,0.0,ok
담양공업고등학교,전라남도 담양군 담양읍 죽향대로 1072,35.3024116694057,126.982236596342,35.3024116694057,126.982236596342,0.0,ok
광양백운고등학교,전라남도 광양시 중마로 250,34.9467751329481,127.691114343212,34.9467751329481,127.691114343212,0.0,ok
목포공업고등학교,전라남도 목포시 용당로 100,34.7960732305031,126.403867811399,34.7960732305031,126.403867811399,0.0,ok
목포여자고등학교,전라남도 목포시 청호로 34,34.7978802675184,126.385242325364,34.7978802675184,126.385242325364,0.0,ok
목포여자상업고등학교,전라남도 목포시 영산로 413-3,34.8085374801703,126.412005210034,34.8085374801703,126.412005210034,0.0,ok
무안고등학교,전라남도 무안군 무안읍 성남1길 61-1,34.9816621130617,126.467148282862,34.9816621130617,126.467148282862,0.0,ok
문태고등학교,전라남도 목포시 용당로 138,34.800575575612,126.403050685094,34.800575575612,126.403050685094,0.0,ok
벌교상업고등학교,전라남도 보성군 벌교읍 홍암로 61,34.8466786908583,127.349567104254,34.8466786908583,127.349567104254,0.0,ok
보성정보통신고등학교,전라남도 보성군 복내면 송재로 1926,34.8987585173107,127.14021597606,34.8987585173107,127.14021597606,0.0,ok
다향고등학교,전라남도 보성군 보성읍 녹차로 1364,34.7638290155337,127.092075235423,34.7638290155337,127.092075235423,0.0,ok
부영여자고등학교,전라남도 여수시 안산1길 172-9,34.7586043072831,127.650712182446,34.7586043072831,127.650712182446,0.0,ok
순천고등학교,전라남도 순천시 우석로 191,34.9462886062398,127.487170605491,34.9462886062398,127.487170605491,0.0,ok
순천청암고등학교,전라남도 순천시 녹색로 1641-1,34.9277597070638,127.489349017293,34.9277597070638,127.489349017293,0.0,ok
순천효산고등학교,전라남도 순천시 삼산로 104,34.9732126734283,127.495482485689,34.9732126734283,127.495482485689,0.0,ok
안좌고등학교,전라남도 신안군 안좌면 중부로 790-7,34.7500263536303,126.129156715999,34.7500263536303,126.129156715999,0.0,ok
약산고등학교,전라남도 완도군 약산면 약산로 366,34.3921384433983,126.89965877908,34.3921384433983,126.89965877908,0.0,ok
여양고등학교,전라남도 여수시 소라면 덕양로 345,34.7890029543642,127.631433886632,34.7890029543642,127.631433886632,0.0,ok
여수해양과학고등학교,전라남도 여수시 돌산읍 돌산로 1201-18,34.614136889086,127.727000019548,34.614136889086,127.727000019548,0.0,ok
영광고등학교,전라남도 영광군 영광읍 옥당로 13-22,35.2669450377553,126.506589578735,35.2669450377553,126.506589578735,0.0,ok
완도금일고등학교,전라남도 완도군 금일읍 금일로 420,34.3494010297718,127.032439279955,34.3494010297718,127.032439279955,0.0,ok
임자고등학교,전라남도 신안군 임자면 임자로 230-9,35.0904602386424,126.099736769046,35.0904602386424,126.099736769046,0.0,ok
장성하이텍고등학교,전라남도 장성군 장성읍 단풍로 72,35.3077225173349,126.793202739479,35.3077225173349,126.793202739479,0.0,ok
전남외국어고등학교,전라남도 나주시 영나로 2434,34.9943705267071,126.722737758476,34.9943705267071,126.722737758476,0.0,ok
지명고등학교,전라남도 신안군 지도읍 해제지도로 1362,35.0633737193248,126.203374315735,35.0633737193248,126.203374315735,0.0,ok
한빛고등학교,전라남도 담양군 대전면 추성1로 501-21,35.2915305617946,126.913136433767,35.2915305617946,126.913136433767,0.0,ok
함평골프고등학교,전라남도 함평군 학교면 학교길 77,35.0259654455156,126.536401764289,35.0259654455156,126.536401764289,0.0,ok
전남보건고등학교,전라남도 함평군 월야면 문화로 685-18,35.1885287236464,126.624340713929,35.1885287236464,126.624340713929,0.0,ok
현경고등학교,전라남도 무안군 현경면 운해로 1551,35.0196292572044,126.404243028711,35.0196292572044,126.404243028711,0.0,ok
화순고등학교,전라남도 화순군 화순읍 진각로 31-9,35.0537552370735,126.98352498212,35.0537552370735,126.98352498212,0.0,ok
전남기술과학고등학교,전라남도 화순군 화순읍 만연로 160-25,35.0719849351247,126.991909166087,35.0719849351247,126.991909166087,0.0,ok
전남자연과학고등학교,전라남도 구례군 구례읍 구례로 409,35.1999506482972,127.463117237022,35.1999506482972,127.463117237022,0.0,ok
전남체육고등학교,전라남도 무안군 일로읍 일로로 126,34.8451441394054,126.497598241213,34.8451441394054,126.497598241213,0.0,ok
순천팔마고등학교,전라남도 순천시 삼산로 140,34.9747666213792,127.49793431477,34.9747666213792,127.49793431477,0.0,ok
광영고등학교,전라남도 광양시 가야로 322,34.9618719210701,127.71450039338,34.9618719210701,127.71450039338,0.0,ok
한울고등학교,전라남도 곡성군 목사동면 주목로 713,35.1173585690172,127.298095238935,35.1173585690172,127.298095238935,0.0,ok
한국창의예술고등학교,전라남도 광양시 중마로 400,34.9487950408528,127.701892636849,34.9487950408528,127.701892636849,0.0,ok
경북생활과학고등학교,경상북도 구미시 해평면 강동로 1654,36.1996011308034,128.392201380495,36.1996011308034,128.392201380495,0.0,ok
경북체육고등학교,경상북도 경산시 경안로 43,35.8122261904859,128.738053391997,35.8122261904859,128.738053391997,0.0,ok
경안여자고등학교,경상북도 안동시 경동로 205-34,36.5765080303277,128.683386582662,36.5765080303277,128.683386582662,0.0,ok
경주여자고등학교,경상북도 경주시 금성로 437,35.8575233733758,129.205126435415,35.8575233733758,129.205126435415,0.0,ok
계림고등학교,경상북도 경주시 용담로 122,35.8663445989482,129.208724465289,35.8663445989482,129.208724465289,0.0,ok
구미정보고등학교,경상북도 구미시 검성로 143,36.1185935773875,128.434230273512,36.1185935773875,128.434230273512,0.0,ok
동명고등학교,경상북도 칠곡군 동명면 백송로 797,35.9851772691063,128.549309028192,35.9851772691063,128.549309028192,0.0,ok
